3,58E+01;2,28E+01;12,97;14,77475626
2,71E+01;3,88E+01;-11,65;
2,49E+01;3,41E+01;-9,16;
1,24E+01;2,50E+01;-12,60;
2,24E+01;2,16E+01;0,82;
5,23E+01;3,98E+01;12,46;
4,17E+01;5,20E+01;-10,33;
2,86E+01;4,72E+01;-18,59;
2,30E+01;2,59E+01;-2,89;
1,11E+02;6,44E+01;46,13;
5,06E+01;3,61E+01;14,47;
4,56E+01;4,23E+01;3,29;
2,84E+01;2,34E+01;5,02;
5,05E+01;2,91E+01;21,42;
3,39E+01;4,15E+01;-7,63;
1,56E+01;2,23E+01;-6,65;
3,54E+01;3,86E+01;-3,16;
2,04E+01;2,29E+01;-2,54;
2,24E+01;2,87E+01;-6,26;
1,86E+01;2,58E+01;-7,17;
2,18E+01;2,96E+01;-7,83;
1,80E+01;2,29E+01;-4,86;
1,22E+01;3,28E+01;-20,55;
2,31E+01;2,32E+01;-0,12;
3,37E+01;2,46E+01;9,11;
1,27E+01;4,63E+01;-33,58;
2,51E+01;2,43E+01;0,76;
1,37E+01;2,21E+01;-8,44;
1,19E+01;2,23E+01;-10,40;
9,80E+00;2,46E+01;-14,78;
2,16E+01;2,31E+01;-1,48;
2,23E+01;3,34E+01;-11,11;
5,16E+01;4,75E+01;4,07;
1,97E+01;2,23E+01;-2,63;
3,49E+01;2,09E+01;13,96;
1,61E+01;2,07E+01;-4,59;
1,50E+01;2,07E+01;-5,69;
1,16E+01;2,03E+01;-8,71;
4,94E+01;4,63E+01;3,15;
2,83E+01;2,28E+01;5,47;
7,70E+00;2,05E+01;-12,85;
4,35E+01;3,75E+01;5,97;
3,90E+01;2,98E+01;9,22;
9,66E+01;4,96E+01;47,01;
3,26E+01;2,94E+01;3,16;
9,10E+00;2,03E+01;-11,17;
1,71E+01;2,03E+01;-3,15;
2,59E+01;2,29E+01;2,98;
2,12E+01;3,10E+01;-9,82;
3,26E+01;2,48E+01;7,76;
3,09E+01;2,13E+01;9,62;
3,72E+01;2,36E+01;13,58;
5,91E+01;3,42E+01;24,88;
2,92E+01;2,66E+01;2,62;
5,10E+01;2,18E+01;29,19;
2,51E+01;2,08E+01;4,35;
4,43E+01;2,92E+01;15,11;
2,73E+01;2,17E+01;5,57;
6,00E+01;2,84E+01;31,61;
3,92E+01;2,79E+01;11,31;
2,48E+01;2,10E+01;3,75;
3,46E+01;3,18E+01;2,79;
3,39E+01;2,45E+01;9,40;
3,23E+01;2,34E+01;8,92;
1,53E+01;2,34E+01;-8,06;
3,89E+01;2,94E+01;9,54;
8,20E+00;1,97E+01;-11,52;
9,60E+00;2,00E+01;-10,45;
1,64E+01;3,22E+01;-15,79;
3,21E+01;2,35E+01;8,55;
2,10E+01;2,72E+01;-6,23;
4,90E+01;4,34E+01;5,59;
1,71E+01;2,05E+01;-3,45;
3,79E+01;2,99E+01;8,03;
4,77E+01;4,44E+01;3,33;
5,58E+01;3,88E+01;16,96;
8,48E+01;5,46E+01;30,21;
2,91E+01;3,78E+01;-8,74;
6,73E+01;5,32E+01;14,11;
4,20E+01;3,14E+01;10,64;
7,50E+01;5,90E+01;15,97;
3,93E+01;2,52E+01;14,11;
2,73E+01;4,09E+01;-13,64;
3,50E+01;3,34E+01;1,56;
3,64E+01;3,43E+01;2,09;
5,71E+01;5,52E+01;1,91;
2,00E+01;5,01E+01;-30,09;
3,84E+01;5,87E+01;-20,32;
3,89E+01;4,05E+01;-1,57;
2,75E+01;2,16E+01;5,92;
3,57E+01;2,94E+01;6,29;
3,44E+01;2,73E+01;7,12;
5,16E+01;5,14E+01;0,19;
4,32E+01;4,96E+01;-6,39;
7,57E+01;6,53E+01;10,45;
8,91E+01;6,51E+01;24,04;
4,31E+01;3,38E+01;9,35;
5,24E+01;3,72E+01;15,24;
4,77E+01;5,58E+01;-8,11;
9,40E+01;5,70E+01;36,97;
7,13E+01;6,14E+01;9,89;
4,16E+01;2,74E+01;14,22;
1,96E+01;2,05E+01;-0,93;
3,78E+01;3,51E+01;2,67;
5,38E+01;4,69E+01;6,89;
3,04E+01;2,15E+01;8,85;
1,35E+01;2,41E+01;-10,56;
3,90E+01;3,88E+01;0,22;
6,26E+01;6,06E+01;2,04;
5,94E+01;6,98E+01;-10,41;
3,54E+01;3,30E+01;2,40;
4,29E+01;3,65E+01;6,43;
4,51E+01;5,47E+01;-9,56;
5,02E+01;3,49E+01;15,33;
3,41E+01;3,97E+01;-5,59;
3,85E+01;5,13E+01;-12,84;
5,29E+01;4,71E+01;5,84;
3,81E+01;3,46E+01;3,54;
5,58E+01;3,33E+01;22,55;
7,58E+01;5,13E+01;24,49;
4,91E+01;4,01E+01;9,04;
2,48E+01;1,83E+01;6,52;
4,85E+01;2,50E+01;23,53;
3,70E+01;2,50E+01;12,03;
4,00E+01;2,16E+01;18,41;
3,30E+01;2,23E+01;10,69;
1,33E+02;9,08E+01;42,65;
5,14E+01;3,72E+01;14,18;
5,02E+01;4,69E+01;3,33;
7,51E+01;7,07E+01;4,41;
1,87E+01;2,38E+01;-5,07;
5,30E+00;2,01E+01;-14,82;
2,48E+01;2,23E+01;2,53;
1,56E+01;2,39E+01;-8,27;
8,91E+01;6,21E+01;26,97;
4,84E+01;4,13E+01;7,09;
1,99E+01;2,10E+01;-1,05;
4,96E+01;5,39E+01;-4,28;
7,43E+01;6,27E+01;11,64;
4,22E+01;4,78E+01;-5,58;
2,82E+01;2,75E+01;0,68;
2,74E+01;2,26E+01;4,82;
2,93E+01;2,51E+01;4,19;
6,69E+01;5,09E+01;16,03;
2,83E+01;2,45E+01;3,77;
1,52E+02;6,49E+01;87,36;
1,29E+01;2,07E+01;-7,80;
2,38E+01;2,89E+01;-5,06;
2,10E+01;2,72E+01;-6,16;
2,15E+01;2,44E+01;-2,86;
1,05E+01;1,80E+01;-7,45;
4,51E+01;3,76E+01;7,54;
1,65E+01;2,96E+01;-13,06;
3,78E+01;3,60E+01;1,77;
3,14E+01;2,69E+01;4,49;
2,34E+01;2,07E+01;2,68;
3,77E+01;4,35E+01;-5,80;
3,22E+01;4,14E+01;-9,24;
1,58E+01;5,90E+01;-43,17;
1,15E+01;2,37E+01;-12,20;
5,60E+00;2,03E+01;-14,73;
2,22E+01;2,68E+01;-4,60;
4,10E+00;2,24E+01;-18,28;
4,77E+01;6,92E+01;-21,49;
1,42E+01;2,68E+01;-12,61;
2,02E+01;4,15E+01;-21,33;
1,85E+01;4,18E+01;-23,34;
7,70E+00;2,65E+01;-18,83;
2,11E+01;3,21E+01;-11,02;
2,07E+01;3,78E+01;-17,11;
7,82E+01;4,05E+01;37,73;
2,14E+01;2,96E+01;-8,21;
1,87E+01;2,24E+01;-3,74;
2,99E+01;2,82E+01;1,70;
5,78E+01;4,23E+01;15,55;
3,35E+01;2,65E+01;7,05;
3,49E+01;4,34E+01;-8,54;
4,45E+01;2,89E+01;15,59;
3,29E+01;2,31E+01;9,82;
6,04E+01;4,91E+01;11,28;
3,42E+01;4,08E+01;-6,58;
5,27E+01;5,05E+01;2,23;
5,90E+01;3,06E+01;28,42;
2,05E+01;2,28E+01;-2,30;
1,04E+02;6,53E+01;38,75;
2,82E+01;2,47E+01;3,54;
2,05E+01;2,45E+01;-4,00;
4,26E+01;4,08E+01;1,82;
4,71E+01;3,09E+01;16,16;
4,72E+01;5,93E+01;-12,11;
2,70E+01;2,83E+01;-1,25;
1,09E+02;5,11E+01;57,74;
2,00E+01;2,45E+01;-4,48;
4,07E+01;5,53E+01;-14,64;
3,67E+01;4,38E+01;-7,11;
2,74E+01;3,62E+01;-8,79;
2,88E+01;3,09E+01;-2,14;
4,40E+01;5,11E+01;-7,09;
3,92E+01;2,33E+01;15,92;
5,44E+01;5,60E+01;-1,60;
2,74E+01;3,22E+01;-4,82;
3,28E+01;3,07E+01;2,08;
9,90E+00;1,99E+01;-9,98;
2,12E+01;5,76E+01;-36,42;
2,01E+01;2,01E+01;0,02;
7,12E+01;6,56E+01;5,57;
3,43E+01;4,07E+01;-6,39;
2,44E+01;2,21E+01;2,26;
4,51E+01;2,87E+01;16,44;
2,64E+01;2,26E+01;3,81;
9,28E+01;3,36E+01;59,21;
5,50E+00;1,80E+01;-12,45;
2,09E+01;2,63E+01;-5,38;
4,48E+01;3,12E+01;13,61;
2,08E+01;2,01E+01;0,72;
4,13E+01;2,28E+01;18,47;
6,28E+01;5,08E+01;12,02;
6,60E+01;3,96E+01;26,41;
2,75E+01;4,42E+01;-16,72;
6,60E+00;2,44E+01;-17,76;
4,10E+00;2,00E+01;-15,87;
3,35E+01;2,71E+01;6,38;
1,47E+01;2,03E+01;-5,63;
1,70E+01;4,85E+01;-31,50;
7,90E+00;2,17E+01;-13,79;
9,79E+01;7,88E+01;19,15;
8,30E+00;2,00E+01;-11,73;
2,20E+01;2,61E+01;-4,06;
4,66E+01;5,45E+01;-7,87;
8,70E+00;2,18E+01;-13,14;
9,70E+00;2,31E+01;-13,38;
4,29E+01;5,29E+01;-10,01;
3,47E+01;4,24E+01;-7,71;
1,71E+01;2,53E+01;-8,17;
3,70E+01;2,30E+01;13,95;
2,11E+01;2,27E+01;-1,63;
2,37E+01;2,18E+01;1,89;
1,37E+01;2,34E+01;-9,74;
4,11E+01;2,13E+01;19,83;
2,03E+01;2,21E+01;-1,83;
4,55E+01;4,45E+01;1,03;
3,09E+01;2,36E+01;7,29;
4,13E+01;3,26E+01;8,67;
5,00E+00;1,94E+01;-14,38;
4,37E+01;2,10E+01;22,65;
2,58E+01;2,40E+01;1,83;
3,02E+01;2,80E+01;2,20;
3,63E+01;2,09E+01;15,42;
2,92E+01;2,85E+01;0,68;
4,00E+00;2,01E+01;-16,08;
9,60E+00;2,00E+01;-10,37;
2,77E+01;2,82E+01;-0,52;
7,38E+01;5,72E+01;16,58;
4,56E+01;3,59E+01;9,72;
6,23E+01;4,98E+01;12,55;
2,19E+01;3,33E+01;-11,38;
4,48E+01;2,95E+01;15,28;
8,28E+01;9,01E+01;-7,26;
2,62E+01;2,74E+01;-1,22;
5,32E+01;2,40E+01;29,20;
3,30E+01;3,06E+01;2,38;
4,49E+01;3,77E+01;7,24;
2,61E+01;3,49E+01;-8,77;
2,84E+01;2,81E+01;0,27;
6,69E+01;7,16E+01;-4,66;
4,55E+01;3,69E+01;8,63;
3,51E+01;3,43E+01;0,79;
2,46E+01;3,07E+01;-6,12;
3,33E+01;3,28E+01;0,52;
5,63E+01;5,20E+01;4,33;
1,66E+01;2,19E+01;-5,27;
2,78E+01;2,14E+01;6,44;
2,65E+01;2,43E+01;2,16;
2,68E+01;3,23E+01;-5,51;
1,70E+01;2,48E+01;-7,84;
3,85E+01;2,45E+01;14,03;
2,03E+01;2,38E+01;-3,51;
2,68E+01;2,57E+01;1,08;
1,58E+01;2,34E+01;-7,56;
1,46E+01;2,30E+01;-8,37;
1,71E+01;3,95E+01;-22,37;
1,73E+01;2,61E+01;-8,76;
4,13E+01;4,58E+01;-4,48;
6,00E+00;2,02E+01;-14,17;
8,10E+00;2,10E+01;-12,88;
7,20E+00;2,08E+01;-13,64;
1,17E+01;2,15E+01;-9,78;
1,79E+01;2,40E+01;-6,07;
8,10E+00;2,16E+01;-13,48;
1,17E+01;2,48E+01;-13,10;
9,90E+00;1,88E+01;-8,91;
2,38E+01;2,48E+01;-1,04;
1,15E+01;2,78E+01;-16,31;
2,44E+01;2,20E+01;2,37;
2,53E+01;2,62E+01;-0,86;
2,06E+01;2,41E+01;-3,51;
1,53E+01;2,47E+01;-9,40;
9,20E+00;2,11E+01;-11,86;
1,79E+01;2,30E+01;-5,08;
4,85E+01;3,81E+01;10,38;
3,84E+01;2,80E+01;10,40;
4,59E+01;6,41E+01;-18,16;
5,30E+01;6,34E+01;-10,44;
3,08E+01;5,33E+01;-22,48;
1,08E+01;3,02E+01;-19,43;
3,69E+01;6,02E+01;-23,29;
6,99E+01;6,61E+01;3,78;
3,24E+01;5,54E+01;-23,04;
2,93E+01;4,63E+01;-17,01;
3,09E+01;2,71E+01;3,82;
1,58E+01;2,10E+01;-5,25;
4,18E+01;3,33E+01;8,52;
1,97E+01;2,41E+01;-4,42;
5,55E+01;7,29E+01;-17,38;
3,08E+01;2,63E+01;4,55;
3,15E+01;5,96E+01;-28,06;
5,77E+01;3,57E+01;22,01;
6,60E+00;2,17E+01;-15,06;
7,40E+00;2,70E+01;-19,58;
1,58E+01;2,10E+01;-5,25;
2,91E+01;2,85E+01;0,63;
8,90E+00;2,15E+01;-12,63;
2,95E+01;3,60E+01;-6,53;
1,71E+01;2,73E+01;-10,20;
3,21E+01;6,06E+01;-28,53;
2,93E+01;2,03E+01;8,96;
5,36E+01;3,13E+01;22,32;
9,10E+00;1,89E+01;-9,79;
4,60E+00;1,98E+01;-15,20;
2,79E+01;2,85E+01;-0,63;
6,34E+01;8,49E+01;-21,47;
7,50E+00;2,02E+01;-12,73;
3,01E+01;3,35E+01;-3,40;
3,66E+01;3,93E+01;-2,74;
4,59E+01;5,81E+01;-12,16;
2,51E+01;4,30E+01;-17,90;
6,70E+00;2,05E+01;-13,85;
2,21E+01;2,41E+01;-1,96;
1,33E+02;6,14E+01;71,69;
3,47E+01;2,15E+01;13,18;
2,18E+01;2,56E+01;-3,78;
1,78E+01;2,33E+01;-5,47;
3,02E+01;3,84E+01;-8,24;
4,16E+01;2,73E+01;14,35;
7,00E+00;2,10E+01;-14,02;
3,20E+01;2,28E+01;9,22;
2,13E+01;2,87E+01;-7,36;
3,25E+01;3,23E+01;0,16;
7,92E+01;1,10E+02;-31,05;
3,72E+01;4,41E+01;-6,92;
3,18E+01;2,35E+01;8,28;
3,55E+01;4,63E+01;-10,78;
3,60E+01;8,53E+01;-49,25;
4,79E+01;6,56E+01;-17,72;
1,70E+01;2,26E+01;-5,58;
3,75E+01;4,72E+01;-9,72;
2,20E+01;2,71E+01;-5,08;
4,03E+01;3,25E+01;7,80;
8,70E+00;2,13E+01;-12,64;
2,79E+01;2,60E+01;1,92;
2,51E+01;2,72E+01;-2,13;
2,89E+01;2,47E+01;4,23;
3,32E+01;2,29E+01;10,31;
3,96E+01;2,18E+01;17,83;
1,39E+01;2,19E+01;-8,01;
2,31E+01;3,74E+01;-14,31;
2,65E+01;3,28E+01;-6,25;
2,61E+01;2,27E+01;3,38;
2,21E+01;3,83E+01;-16,21;
3,40E+01;2,21E+01;11,86;
1,57E+01;2,31E+01;-7,43;
2,41E+01;2,90E+01;-4,95;
3,14E+01;2,64E+01;4,99;
1,32E+01;2,15E+01;-8,27;
1,33E+01;9,08E+00;4,22;
1,72E+01;1,27E+01;4,52;
1,39E+01;2,28E+01;-8,94;
1,49E+01;2,10E+01;-6,12;
1,21E+01;2,04E+01;-8,27;
1,16E+01;2,07E+01;-9,12;
2,22E+01;2,26E+01;-0,42;
1,57E+01;2,53E+01;-9,57;
9,30E+00;2,08E+01;-11,53;
8,10E+00;2,14E+01;-13,27;
5,70E+01;3,67E+01;20,31;
3,66E+01;2,30E+01;13,65;
5,32E+01;5,18E+01;1,42;
1,39E+01;2,10E+01;-7,15;
1,10E+01;2,02E+01;-9,16;
8,00E+00;2,03E+01;-12,34;
3,55E+01;4,32E+01;-7,69;
7,80E+00;2,08E+01;-13,03;
1,90E+01;4,42E+01;-25,22;
1,16E+01;2,14E+01;-9,82;
1,19E+01;2,03E+01;-8,40;
1,84E+01;2,12E+01;-2,80;
1,11E+01;2,05E+01;-9,40;
2,20E+01;2,07E+01;1,31;
8,40E+00;3,50E+01;-26,60;
6,90E+00;2,00E+01;-13,10;
1,92E+01;3,32E+01;-13,99;
4,00E+00;2,10E+01;-17,00;
2,62E+01;2,08E+01;5,36;
4,30E+01;3,63E+01;6,69;
2,11E+01;3,00E+01;-8,95;
4,39E+01;2,53E+01;18,62;
1,33E+02;7,99E+01;53,32;
2,68E+01;3,13E+01;-4,48;
3,16E+01;3,34E+01;-1,81;
2,00E+01;2,05E+01;-0,45;
1,15E+01;2,18E+01;-10,28;
2,51E+01;2,05E+01;4,60;
3,48E+01;5,87E+01;-23,92;
2,32E+01;2,25E+01;0,67;
6,90E+00;2,19E+01;-14,96;
2,02E+01;2,00E+01;0,18;
2,57E+01;2,30E+01;2,67;
2,25E+01;2,38E+01;-1,25;
9,30E+00;2,50E+01;-15,67;
7,70E+00;1,99E+01;-12,24;
1,71E+01;2,11E+01;-4,02;
7,50E+00;2,06E+01;-13,09;
2,03E+01;2,23E+01;-2,03;
6,59E+01;5,86E+01;7,28;
1,98E+01;2,64E+01;-6,58;
4,03E+01;5,18E+01;-11,54;
2,49E+01;3,41E+01;-9,23;
1,57E+01;2,06E+01;-4,94;
1,52E+01;2,41E+01;-8,93;
3,59E+01;2,42E+01;11,74;
1,50E+01;2,48E+01;-9,78;
3,41E+01;3,27E+01;1,41;
2,27E+01;2,19E+01;0,79;
1,41E+01;3,48E+01;-20,74;
1,39E+01;2,12E+01;-7,30;
7,20E+00;2,00E+01;-12,80;
7,02E+01;5,12E+01;18,98;
3,07E+01;2,78E+01;2,92;
1,41E+01;2,09E+01;-6,82;
1,91E+01;2,05E+01;-1,35;
2,00E+01;2,21E+01;-2,08;
4,92E+01;3,65E+01;12,67;
2,53E+01;2,26E+01;2,67;
4,17E+01;3,00E+01;11,75;
2,80E+01;2,22E+01;5,81;
1,31E+01;2,05E+01;-7,43;
1,93E+01;2,47E+01;-5,43;
3,56E+01;2,49E+01;10,69;
3,18E+01;2,42E+01;7,63;
2,65E+01;2,17E+01;4,81;
6,00E+01;3,78E+01;22,25;
1,88E+01;3,47E+01;-15,92;
1,45E+01;2,08E+01;-6,33;
2,90E+01;2,15E+01;7,53;
9,70E+00;2,04E+01;-10,69;
2,66E+01;2,18E+01;4,85;
1,14E+01;2,09E+01;-9,49;
1,89E+01;2,08E+01;-1,94;
1,53E+01;2,15E+01;-6,18;
2,75E+01;2,13E+01;6,19;
2,02E+01;2,55E+01;-5,30;
2,90E+01;2,11E+01;7,89;
4,33E+01;5,10E+01;-7,67;
1,90E+01;2,65E+01;-7,53;
2,00E+01;2,02E+01;-0,20;
1,33E+01;2,09E+01;-7,61;
2,50E+01;2,16E+01;3,42;
1,76E+01;2,66E+01;-9,02;
1,74E+01;2,64E+01;-8,96;
2,20E+01;2,34E+01;-1,44;
4,19E+01;3,15E+01;10,37;
2,62E+01;2,08E+01;5,42;
2,37E+01;2,05E+01;3,18;
2,10E+01;2,04E+01;0,63;
3,74E+01;2,48E+01;12,56;
3,09E+01;2,17E+01;9,17;
3,04E+01;2,23E+01;8,15;
2,65E+01;4,99E+01;-23,44;
2,48E+01;2,30E+01;1,83;
3,86E+01;2,22E+01;16,41;
5,55E+01;4,58E+01;9,72;
5,13E+01;3,31E+01;18,17;
1,84E+01;2,03E+01;-1,88;
1,63E+01;2,91E+01;-12,83;
4,73E+01;2,55E+01;21,75;
2,45E+01;2,14E+01;3,13;
2,41E+01;2,29E+01;1,24;
2,81E+01;2,24E+01;5,69;
4,03E+01;2,90E+01;11,30;
4,21E+01;2,55E+01;16,65;
4,77E+01;3,15E+01;16,20;
5,19E+01;2,68E+01;25,09;
2,56E+01;2,13E+01;4,32;
2,20E+01;2,04E+01;1,58;
3,66E+01;2,08E+01;15,83;
2,57E+01;2,24E+01;3,31;
1,59E+01;2,17E+01;-5,80;
3,86E+01;2,40E+01;14,60;
4,31E+01;2,73E+01;15,82;
7,70E+00;2,21E+01;-14,36;
4,33E+01;2,25E+01;20,85;
6,92E+01;3,81E+01;31,14;
2,72E+01;2,26E+01;4,64;
1,73E+01;2,01E+01;-2,76;
2,08E+01;2,12E+01;-0,39;
